,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129
0,[CLS],高,举,新,时,代,改,革,开,放,旗,帜,以,更,坚,定,的,信,心,更,有,力,的,措,施,把,改,革,开,放,不,断,推,向,深,入,自,然,[UNK],[UNK],处,理,是,一,门,[UNK],[UNK],[UNK],学,、,计,[UNK],机,科,学,、,[UNK],学,于,一,体,的,科,学,[SEP],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,[CLS],高,举,新,时,代,改,革,开,放,旗,帜,以,更,坚,定,的,信,心,更,有,力,的,措,施,把,改,革,开,放,不,断,推,向,深,入,自,然,[UNK],[UNK],处,理,是,一,门,[UNK],[UNK],[UNK],学,、,计,[UNK],机,科,学,、,[UNK],学,于,一,体,的,科,学,[SEP],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,inf,0.4999163746833801,0.4715613126754761,0.5015829801559448,0.518378496170044,0.5132938623428345,0.5161560773849487,0.4965671896934509,0.5203381180763245,0.524971604347229,0.5157000422477722,0.514180064201355,0.5063188672065735,0.4990631341934204,0.5395069122314453,0.5149269104003906,0.5113646984100342,0.5038858652114868,0.5202109813690186,0.5291099548339844,0.5119184851646423,0.5283387899398804,0.5403256416320801,0.5057165026664734,0.4601284861564636,0.5179827213287354,0.5088372230529785,0.4879176616668701,0.5312179327011108,0.5151917934417725,0.5111461877822876,0.5029256939888,0.5263383388519287,0.5114501714706421,0.5177520513534546,0.5137131214141846,0.495047390460968,0.5225621461868286,0.4849158525466919,0.5233551263809204,0.5220167636871338,0.5282281637191772,0.5132961273193359,0.49334895610809326,0.4854162335395813,0.4886365532875061,0.4993928074836731,0.49349749088287354,0.5093346834182739,0.5198227763175964,0.5143921375274658,0.5014598369598389,0.5287631750106812,0.5081762075424194,0.4873669743537903,0.5057048797607422,0.5088229775428772,0.5041189193725586,0.5065135955810547,0.4990895390510559,0.49801892042160034,0.5172578692436218,0.501238226890564,0.5155124068260193,0.4877409338951111,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
